id,produto,quantidade,preço,data
1,cafeteira elétrica,3,50.00,07/02/2023
2,liquidificador,5,35.00,08/02/2023
3,torradeira,4,25.00,09/02/2023
4,panela elétrica de arroz,2,60.00,10/02/2023
5,ferro de passar roupa,6,30.00,11/02/2023
6,aspirador de pó,3,100.00,12/02/2023
7,ventilador de mesa,4,40.00,13/02/2023
8,ar-condicionado portátil,1,300.00,14/02/2023
9,liquidificador,8,45.00,15/02/2023
10,cafeteira elétrica,2,55.00,16/02/2023
11,grill elétrico,3,50.00,17/02/2023
12,ferro de passar roupa,5,35.00,18/02/2023
13,batedeira elétrica,4,70.00,19/02/2023
14,micro-ondas,2,150.00,20/02/2023
15,panela elétrica de pressão,3,80.00,21/02/2023
